canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate
Лента,Торговый комплекс «Лента»,,59.810193,30.3183762,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,621455195,osm_pbf,True
Лента,торговый комплекс «Лента»,,59.9855844,30.2265365,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1461953472,osm_pbf,True
ОКЕЙ,супермаркет «О'Кей»,,59.8279718,30.3229703,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1557354819,osm_pbf,True
Лента,торговый комплекс «Лента»,,59.9857078,30.2266313,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1669466215,osm_pbf,True
Лента,Торговый комплекс «Лента»,,59.9082317,30.4479325,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1734565693,osm_pbf,True
Пятёрочка,,,59.9392409,30.4752719,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1754622542,osm_pbf,True
ОКЕЙ,Гипермаркет «О'Кей»,,59.9867769,30.2276682,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1777786553,osm_pbf,True
Лента,торговый комплекс «Лента»,,59.9860479,30.2255831,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1801877377,osm_pbf,True
ОКЕЙ,,"Санкт-Петербург, Пулковское шоссе, 17 к2",59.82778,30.3170532,0.4,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1905674852,osm_pbf,True
Лента,Гипермаркет «Лента»,,59.9354941,30.4955706,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,2382359600,osm_pbf,True
Пятёрочка,,,59.5751903,30.1290724,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,2985577978,osm_pbf,True
Лента,Гипермаркет «Лента»,,59.9356514,30.4950392,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,3062459551,osm_pbf,True
Лента,торговый комплекс «Лента»,,59.9859636,30.2255323,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,3071413470,osm_pbf,True
Пятёрочка,Пятёрочка,,59.9735656,30.3988586,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,3347836569,osm_pbf,True
Пятёрочка,Пятёрочка,"улица Шувалова, 3",60.0518345,30.4236435,0.3,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,3751518139,osm_pbf,True
Пятёрочка,ПВ-10м3,,59.4130232,30.3438089,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,3757443626,osm_pbf,True
Пятёрочка,,"Октябрьский бульвар, 7",59.7248353,30.4065893,0.3,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,4336029059,osm_pbf,True
Пятёрочка,,"Пушкин, Октябрьский бульвар, 7",59.7248425,30.4065685,0.4,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,4336029060,osm_pbf,True
Пятёрочка,Пятёрочка,,59.451099,29.4859921,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,4407796994,osm_pbf,True
Лента,Лента Кафе,"улица Руставели, 61",60.0312801,30.4341181,0.3,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,4495445690,osm_pbf,True
Пятёрочка,Пятёрочка,,59.7248448,30.4064847,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,4718332112,osm_pbf,True
Азбука вкуса,,,59.8890347,30.3188864,0.1,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,4782922833,osm_pbf,True
Лента,Экобокс,,59.9566911,30.2445796,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,5106084744,osm_pbf,True
Лента,,,60.0507489,30.4228105,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,5274652626,osm_pbf,True
Лента,,,60.0507347,30.4227974,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,5625789355,osm_pbf,True
ОКЕЙ,супермаркет «О'Кей»,,59.8272362,30.3221811,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,6845435209,osm_pbf,True
Пятёрочка,Пятёрочка,,59.8962281,29.7741129,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,7021749585,osm_pbf,True
Лента,Лента Зоомаркет,,59.9342916,30.4970825,0.1,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,7902830463,osm_pbf,True
Лента,ТК «Лента»,,59.7996951,30.4019836,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,8117445855,osm_pbf,True
Лента,"Таллинское шоссе, 159, торговый центр «Лента»",,59.8078408,30.1663728,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,8702586804,osm_pbf,True
Лента,"Таллинское шоссе, 159, торговый центр «Лента»",,59.8069921,30.1650407,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,8702586805,osm_pbf,True
Пятёрочка,торговый центр «Пятерочка»,,59.7458887,30.091815,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,8716038186,osm_pbf,True
Лента,,,59.9146589,29.0543988,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,8777194990,osm_pbf,True
Лента,Лента зоомаркет,,59.8518908,30.0931837,0.1,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,8839218811,osm_pbf,True
Лента,Торговый комплекс «Лента»,,59.8101777,30.3184062,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9156234934,osm_pbf,True
Лента,Торговый комплекс «Лента»,,59.8100581,30.3183384,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9156234935,osm_pbf,True
Лента,Гипермаркет «Лента»,,59.9142375,29.053929,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9179401029,osm_pbf,True
Лента,Гипермаркет «Лента»,,59.9135133,29.0542239,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9179401030,osm_pbf,True
Лента,Торговый комплекс «Лента»,,59.9082163,30.4479065,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9219132858,osm_pbf,True
Лента,Торговый комплекс «Лента»,,59.9081239,30.4482922,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9219132859,osm_pbf,True
Лента,торговый комплекс «Лента»,,59.9857803,30.2256243,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9230651360,osm_pbf,True
ОКЕЙ,Гипермаркет «О'кей»,,59.5833167,30.1394592,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9510726585,osm_pbf,True
Лента,ТК «Лента»,,59.797788,30.4060922,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9714367856,osm_pbf,True
Лента,,,59.8979638,30.3344617,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9724294685,osm_pbf,True
Лента,Кудрово- ТК Лента,,59.9167441,30.51984,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,9792628496,osm_pbf,True
ОКЕЙ,Ленинградское шоссе/Гипермаркет «О'кей»,,59.5831722,30.1415094,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10140053669,osm_pbf,True
ОКЕЙ,Ленинградское шоссе/Гипермаркет «О'кей»,,59.584,30.1423826,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10140053713,osm_pbf,True
Пятёрочка,,,60.3723503,30.3688669,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10188934404,osm_pbf,True
Лента,,,59.8696342,29.8271177,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10188989525,osm_pbf,True
Лента,Кудрово- ТК Лента,,59.9163774,30.5207287,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10574555717,osm_pbf,True
Лента,1 ПГ,,59.9133544,29.0559641,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10790315430,osm_pbf,True
Лента,2 ПГ,,59.9148028,29.0548063,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10790315431,osm_pbf,True
Лента,3 ПГ,,59.9149754,29.0575809,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,10790315432,osm_pbf,True
Лента,,,59.5438746,30.8803373,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,11251225337,osm_pbf,True
Семишагофф,,,60.1116046,30.4919549,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,12881332188,osm_pbf,True
Пятёрочка,,,59.8044207,30.078629,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13190579463,osm_pbf,True
Пятёрочка,,,59.8044198,30.0786121,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13191119917,osm_pbf,True
Лента,Лента,,61.0394198,30.1169634,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,13442560801,osm_pbf,True
Пятёрочка,Пятёрочка,,59.8085222,30.8708017,0.3,ADDRESS_MISSING;DUPLICATE_CANDIDATE,node,13722605011,osm_pbf,True
Лента,Гипермаркет «Лента»,,60.0607958,30.3929423,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13776892165,osm_pbf,True
Лента,Супер Лента,,59.7875944,30.0828468,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,13895348848,osm_pbf,True
Семишагофф,Семишагофф,"Шлиссельбург, улица Кирова, 8",59.935836821428566,31.02845759285714,0.4,GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,137215461,osm_pbf,True
Азбука вкуса,,,59.9423737,30.2256948,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,286817738,osm_pbf,True
Пятёрочка,,,60.57081548,30.5119649,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,502129922,osm_pbf,True
Пятёрочка,Пятёрочка,,59.835070359999996,30.512590819999996,0.0,ADDRESS_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,824293742,osm_pbf,True
Пятёрочка,Пятёрочка,,59.9027111,30.27415473,0.0,ADDRESS_MISSING;GEOMETRY_UNCERTAIN;DUPLICATE_CANDIDATE,way,1207595723,osm_pbf,True
